unit_id,project_id,city,license_status,occupancy_status,has_encumbrance,encumbrance_type,legal_risk_tier,last_legal_update
PRJ_0001_U001,PRJ_0001,Madrid,in_review,occupied,0,,LOW,2021-08-14
PRJ_0001_U002,PRJ_0001,Madrid,granted,vacant,0,,LOW,2023-04-14
PRJ_0001_U003,PRJ_0001,Madrid,in_review,vacant,0,,LOW,2022-09-14
PRJ_0001_U004,PRJ_0001,Madrid,granted,occupied,1,hipoteca,HIGH,2022-03-14
PRJ_0001_U005,PRJ_0001,Madrid,pending,vacant,0,,LOW,2021-08-14
PRJ_0001_U006,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-07-14
PRJ_0001_U007,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-12-14
PRJ_0001_U008,PRJ_0001,Madrid,granted,vacant,1,hipoteca,HIGH,2023-08-14
PRJ_0001_U009,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-02-14
PRJ_0001_U010,PRJ_0001,Madrid,granted,occupied,0,,LOW,2022-09-14
PRJ_0001_U011,PRJ_0001,Madrid,granted,vacant,0,,LOW,2023-08-14
PRJ_0001_U012,PRJ_0001,Madrid,in_review,vacant,0,,LOW,2022-10-14
PRJ_0001_U013,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-10-14
PRJ_0001_U014,PRJ_0001,Madrid,in_review,vacant,0,,LOW,2022-09-14
PRJ_0001_U015,PRJ_0001,Madrid,pending,reserved,0,,LOW,2022-05-14
PRJ_0001_U016,PRJ_0001,Madrid,in_review,vacant,0,,LOW,2023-04-14
PRJ_0001_U017,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-01-14
PRJ_0001_U018,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-02-14
PRJ_0001_U019,PRJ_0001,Madrid,in_review,reserved,0,,LOW,2023-02-14
PRJ_0001_U020,PRJ_0001,Madrid,granted,vacant,0,,LOW,2023-01-14
PRJ_0001_U021,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-06-14
PRJ_0001_U022,PRJ_0001,Madrid,granted,vacant,1,embargo,HIGH,2022-04-14
PRJ_0001_U023,PRJ_0001,Madrid,granted,vacant,1,embargo,HIGH,2022-03-14
PRJ_0001_U024,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-11-14
PRJ_0001_U025,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-01-14
PRJ_0001_U026,PRJ_0001,Madrid,granted,reserved,0,,LOW,2023-02-14
PRJ_0001_U027,PRJ_0001,Madrid,in_review,vacant,0,,LOW,2023-07-14
PRJ_0001_U028,PRJ_0001,Madrid,granted,reserved,0,,LOW,2022-06-14
PRJ_0001_U029,PRJ_0001,Madrid,granted,occupied,1,servidumbre,MED,2023-01-14
PRJ_0001_U030,PRJ_0001,Madrid,in_review,vacant,0,,LOW,2023-04-14
PRJ_0001_U031,PRJ_0001,Madrid,granted,reserved,0,,LOW,2022-04-14
PRJ_0001_U032,PRJ_0001,Madrid,in_review,vacant,0,,LOW,2022-11-14
PRJ_0001_U033,PRJ_0001,Madrid,granted,vacant,0,,LOW,2021-08-14
PRJ_0001_U034,PRJ_0001,Madrid,granted,occupied,0,,LOW,2022-07-14
PRJ_0001_U035,PRJ_0001,Madrid,in_review,reserved,0,,LOW,2021-10-14
PRJ_0001_U036,PRJ_0001,Madrid,granted,occupied,1,embargo,HIGH,2023-03-14
PRJ_0001_U037,PRJ_0001,Madrid,granted,vacant,0,,LOW,2021-10-14
PRJ_0001_U038,PRJ_0001,Madrid,pending,vacant,0,,LOW,2023-01-14
PRJ_0001_U039,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-02-14
PRJ_0001_U040,PRJ_0001,Madrid,granted,reserved,0,,LOW,2021-11-14
PRJ_0001_U041,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-06-14
PRJ_0001_U042,PRJ_0001,Madrid,pending,vacant,0,,LOW,2022-09-14
PRJ_0001_U043,PRJ_0001,Madrid,granted,vacant,0,,LOW,2023-08-14
PRJ_0001_U044,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-10-14
PRJ_0001_U045,PRJ_0001,Madrid,granted,reserved,0,,LOW,2022-09-14
PRJ_0001_U046,PRJ_0001,Madrid,granted,reserved,0,,LOW,2023-07-14
PRJ_0001_U047,PRJ_0001,Madrid,granted,reserved,1,servidumbre,MED,2022-10-14
PRJ_0001_U048,PRJ_0001,Madrid,granted,vacant,0,,LOW,2021-09-14
PRJ_0001_U049,PRJ_0001,Madrid,granted,vacant,1,embargo,HIGH,2023-03-14
PRJ_0001_U050,PRJ_0001,Madrid,granted,reserved,0,,LOW,2023-02-14
PRJ_0001_U051,PRJ_0001,Madrid,granted,vacant,0,,LOW,2021-12-14
PRJ_0001_U052,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-04-14
PRJ_0001_U053,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-05-14
PRJ_0001_U054,PRJ_0001,Madrid,in_review,occupied,0,,LOW,2023-07-14
PRJ_0001_U055,PRJ_0001,Madrid,pending,reserved,0,,LOW,2023-05-14
PRJ_0001_U056,PRJ_0001,Madrid,granted,reserved,0,,LOW,2022-12-14
