customer_id,segment_true,annual_income_eur,savings_eur,green_preference,financing_sensitivity
CUS_000001,premium,100520,74450,0.324,0.18
CUS_000002,first_home,47486,11930,0.762,0.981
CUS_000003,investor,46578,23155,0.39,0.108
CUS_000004,first_home,46319,26880,0.3,0.911
CUS_000005,premium,218397,110490,0.473,0.378
CUS_000006,first_home,41322,16040,0.847,0.774
CUS_000007,first_home,61820,6371,0.911,0.719
CUS_000008,first_home,21408,13723,1.0,0.675
CUS_000009,upsizer,78924,17364,0.5,0.457
CUS_000010,premium,76058,46014,0.52,0.13
CUS_000011,first_home,46922,29559,0.521,0.48
CUS_000012,first_home,16000,3363,0.405,0.801
CUS_000013,first_home,38959,8082,0.397,0.736
CUS_000014,first_home,36834,13232,0.455,0.837
CUS_000015,first_home,47930,28544,1.0,0.683
CUS_000016,upsizer,90579,29204,0.354,0.593
CUS_000017,first_home,17301,7732,0.612,0.604
CUS_000018,upsizer,93721,31830,0.705,0.58
CUS_000019,first_home,29319,16753,1.0,0.596
CUS_000020,premium,64983,20516,0.632,0.288
CUS_000021,first_home,43496,13060,0.493,0.842
CUS_000022,first_home,31551,7704,0.324,0.547
CUS_000023,premium,72067,17196,0.345,0.159
CUS_000024,first_home,26304,16349,0.557,0.562
CUS_000025,upsizer,68396,25005,0.486,0.392
CUS_000026,investor,76078,19691,0.546,0.191
CUS_000027,upsizer,80745,10433,0.699,0.501
CUS_000028,premium,125822,47978,0.403,0.14
CUS_000029,first_home,51195,14450,0.65,0.725
CUS_000030,first_home,39378,9769,0.809,0.718
CUS_000031,investor,40914,11892,0.122,0.303
CUS_000032,first_home,54459,24611,0.602,0.796
CUS_000033,investor,40341,8917,0.905,0.478
CUS_000034,first_home,30012,11251,0.661,0.671
CUS_000035,investor,48646,28672,0.41,0.331
CUS_000036,first_home,27769,9174,0.708,0.625
CUS_000037,first_home,18184,4336,0.434,0.878
CUS_000038,upsizer,88210,54685,0.772,0.566
CUS_000039,premium,152135,63005,0.673,0.0
CUS_000040,first_home,44221,17625,1.0,0.679
CUS_000041,first_home,60807,31850,0.535,0.83
CUS_000042,investor,114846,47597,0.667,0.363
CUS_000043,first_home,38509,17043,0.479,0.568
CUS_000044,investor,88458,13023,0.586,0.321
CUS_000045,investor,78157,21797,0.356,0.614
