lead_id,customer_id,project_id,lead_date,channel,visits,lead_score
LEAD_0000001,CUS_001225,PRJ_0012,2022-04-03,web,1,55
LEAD_0000002,CUS_005288,PRJ_0009,2025-09-07,web,1,48
LEAD_0000003,CUS_000805,PRJ_0012,2024-06-26,referral,1,74
LEAD_0000004,CUS_005612,PRJ_0014,2025-03-29,web,2,61
LEAD_0000005,CUS_005819,PRJ_0027,2023-03-24,campaign,2,84
LEAD_0000006,CUS_003813,PRJ_0008,2023-12-04,referral,3,64
LEAD_0000007,CUS_005723,PRJ_0004,2025-11-12,web,2,52
LEAD_0000008,CUS_003850,PRJ_0023,2024-05-20,agency,1,48
LEAD_0000009,CUS_000220,PRJ_0012,2025-05-17,web,3,64
LEAD_0000010,CUS_005514,PRJ_0028,2025-08-07,referral,1,60
LEAD_0000011,CUS_000879,PRJ_0016,2023-12-22,web,4,52
LEAD_0000012,CUS_004069,PRJ_0003,2025-12-02,referral,2,76
LEAD_0000013,CUS_001332,PRJ_0014,2025-01-13,walk_in,1,90
LEAD_0000014,CUS_000015,PRJ_0013,2022-07-04,referral,1,69
LEAD_0000015,CUS_005216,PRJ_0024,2023-09-28,web,1,61
LEAD_0000016,CUS_004341,PRJ_0018,2023-07-05,agency,0,58
LEAD_0000017,CUS_003378,PRJ_0007,2022-11-16,agency,2,59
LEAD_0000018,CUS_006147,PRJ_0010,2023-08-23,walk_in,2,53
LEAD_0000019,CUS_002135,PRJ_0001,2024-12-27,web,2,52
LEAD_0000020,CUS_003438,PRJ_0007,2023-12-30,web,0,40
LEAD_0000021,CUS_004705,PRJ_0012,2025-07-19,agency,1,52
LEAD_0000022,CUS_001001,PRJ_0003,2023-12-28,campaign,1,63
LEAD_0000023,CUS_006115,PRJ_0007,2022-12-27,agency,2,74
LEAD_0000024,CUS_006477,PRJ_0014,2024-10-06,agency,1,64
LEAD_0000025,CUS_005451,PRJ_0026,2022-01-23,referral,2,81
LEAD_0000026,CUS_003051,PRJ_0010,2023-09-27,walk_in,2,53
LEAD_0000027,CUS_003504,PRJ_0017,2025-02-12,campaign,2,54
LEAD_0000028,CUS_002207,PRJ_0001,2025-06-17,agency,1,49
LEAD_0000029,CUS_003006,PRJ_0011,2021-11-27,web,3,60
LEAD_0000030,CUS_005834,PRJ_0016,2025-05-30,walk_in,1,51
LEAD_0000031,CUS_002804,PRJ_0008,2024-02-14,web,2,62
LEAD_0000032,CUS_004426,PRJ_0019,2022-01-02,campaign,0,45
LEAD_0000033,CUS_001782,PRJ_0005,2021-01-24,agency,0,45
LEAD_0000034,CUS_002883,PRJ_0027,2022-11-04,web,1,59
LEAD_0000035,CUS_004653,PRJ_0004,2023-02-20,web,2,56
LEAD_0000036,CUS_002417,PRJ_0013,2022-04-07,walk_in,2,57
LEAD_0000037,CUS_002310,PRJ_0016,2021-01-09,referral,1,61
LEAD_0000038,CUS_005797,PRJ_0011,2023-04-18,referral,1,86
LEAD_0000039,CUS_005912,PRJ_0013,2025-08-25,web,3,57
LEAD_0000040,CUS_002057,PRJ_0005,2025-09-17,web,5,72
LEAD_0000041,CUS_000839,PRJ_0008,2023-06-13,web,1,85
LEAD_0000042,CUS_002908,PRJ_0021,2025-07-06,web,4,68
LEAD_0000043,CUS_004082,PRJ_0022,2021-06-16,agency,1,56
LEAD_0000044,CUS_002623,PRJ_0001,2025-03-29,agency,3,100
LEAD_0000045,CUS_000406,PRJ_0009,2023-10-16,agency,1,67
LEAD_0000046,CUS_006314,PRJ_0026,2021-05-07,agency,1,81
LEAD_0000047,CUS_001230,PRJ_0020,2021-04-28,referral,1,65
LEAD_0000048,CUS_005708,PRJ_0007,2021-02-17,walk_in,0,92
LEAD_0000049,CUS_003388,PRJ_0017,2022-08-18,web,2,39
LEAD_0000050,CUS_004532,PRJ_0004,2023-09-17,agency,1,47
LEAD_0000051,CUS_005117,PRJ_0003,2024-11-21,campaign,0,48
LEAD_0000052,CUS_003813,PRJ_0016,2023-12-30,web,2,48
LEAD_0000053,CUS_006410,PRJ_0014,2023-06-28,referral,0,67
LEAD_0000054,CUS_003252,PRJ_0018,2022-03-15,agency,1,100
LEAD_0000055,CUS_004843,PRJ_0022,2024-01-12,campaign,0,48
LEAD_0000056,CUS_000683,PRJ_0018,2025-11-15,web,1,76
LEAD_0000057,CUS_005831,PRJ_0015,2025-09-10,web,5,60
LEAD_0000058,CUS_005839,PRJ_0007,2022-12-20,web,0,64
LEAD_0000059,CUS_000408,PRJ_0023,2023-06-09,campaign,1,63
LEAD_0000060,CUS_006350,PRJ_0024,2023-02-01,web,1,46
LEAD_0000061,CUS_001536,PRJ_0014,2023-10-31,web,1,79
LEAD_0000062,CUS_004823,PRJ_0002,2023-01-20,web,3,66
LEAD_0000063,CUS_006252,PRJ_0022,2022-02-10,referral,5,66
LEAD_0000064,CUS_001859,PRJ_0028,2022-01-06,campaign,1,63
LEAD_0000065,CUS_004798,PRJ_0004,2025-02-22,web,3,58
LEAD_0000066,CUS_002543,PRJ_0014,2023-07-03,campaign,0,75
LEAD_0000067,CUS_004641,PRJ_0007,2021-08-22,web,2,69
LEAD_0000068,CUS_005277,PRJ_0007,2023-09-27,web,1,71
LEAD_0000069,CUS_001560,PRJ_0008,2024-06-01,walk_in,1,43
LEAD_0000070,CUS_005430,PRJ_0017,2021-11-15,campaign,3,56
LEAD_0000071,CUS_004140,PRJ_0011,2025-12-09,referral,4,83
LEAD_0000072,CUS_001988,PRJ_0012,2021-10-21,campaign,0,65
