period,euribor_12m_pct,inflation_yoy_pct,unemployment_pct,employment_growth_yoy_pct,consumer_confidence_idx
2021-01,2.163,3.467,12.226,1.342,94.39
2021-02,2.483,3.195,12.318,1.477,99.57
2021-03,2.276,3.081,12.446,1.639,94.38
2021-04,2.508,3.394,12.24,1.625,99.73
2021-05,2.8,3.42,12.622,1.607,100.04
2021-06,2.739,3.389,12.248,1.679,98.25
2021-07,2.82,3.263,12.917,1.705,99.32
2021-08,2.9,2.802,12.578,1.883,99.96
2021-09,3.01,2.93,13.221,1.843,101.01
2021-10,3.176,2.857,12.381,2.007,100.03
2021-11,3.19,2.541,13.469,1.798,100.89
2021-12,3.099,2.547,12.69,1.997,101.52
2022-01,3.23,2.144,12.839,2.225,102.01
2022-02,3.124,2.154,13.244,1.966,102.41
2022-03,3.155,2.246,13.344,2.274,98.86
2022-04,2.882,2.376,13.128,2.009,103.79
2022-05,3.152,2.219,13.422,1.954,102.74
2022-06,2.895,2.049,12.988,1.949,100.19
2022-07,2.451,1.878,13.067,1.845,103.29
2022-08,2.881,1.809,13.06,1.546,103.23
2022-09,2.576,1.514,12.96,1.919,106.48
2022-10,2.413,1.634,12.561,2.053,102.73
2022-11,2.269,1.658,12.98,1.727,104.95
2022-12,2.273,1.968,12.89,1.662,106.13
2023-01,1.992,2.095,13.114,1.476,101.8
2023-02,1.91,2.121,12.443,1.596,102.59
2023-03,1.797,2.293,12.517,1.334,105.72
2023-04,1.718,2.167,12.886,1.297,102.24
2023-05,1.59,2.062,12.563,0.94,102.0
2023-06,1.663,2.362,12.529,1.014,99.87
2023-07,1.513,2.346,12.404,1.071,101.45
2023-08,1.461,2.745,12.304,1.078,99.35
2023-09,1.435,2.663,12.543,1.014,95.09
2023-10,1.4,2.833,12.01,0.574,97.33
2023-11,1.4,3.104,11.636,0.533,94.95
2023-12,1.517,2.921,11.954,0.794,96.8
2024-01,1.424,3.355,11.562,0.555,93.98
2024-02,1.535,2.973,11.591,0.77,96.01
2024-03,1.51,3.368,11.631,0.37,94.38
2024-04,1.4,3.338,11.26,0.588,91.04
2024-05,1.4,3.552,11.273,0.595,91.8
2024-06,1.456,3.125,11.463,0.68,93.3
2024-07,1.777,3.088,11.159,0.471,93.64
2024-08,1.794,3.52,11.5,0.357,88.86
2024-09,1.869,3.249,10.982,0.714,87.82
2024-10,1.738,3.25,10.962,0.812,93.3
2024-11,2.157,3.062,11.677,0.937,88.8
2024-12,2.151,3.288,10.82,0.792,88.47
2025-01,2.314,3.066,11.208,1.028,86.33
2025-02,2.62,2.944,11.699,1.056,87.8
2025-03,2.505,2.546,11.261,1.258,90.43
2025-04,2.62,2.76,11.647,1.131,87.19
2025-05,2.847,2.339,11.524,0.961,88.55
2025-06,3.011,2.285,11.419,1.293,86.28
2025-07,2.927,2.028,11.456,1.4,84.03
2025-08,3.206,2.16,11.034,1.546,84.65
2025-09,2.916,2.305,11.565,1.317,83.77
2025-10,2.918,2.049,11.79,1.576,86.5
2025-11,2.915,1.841,11.882,1.824,88.63
2025-12,2.892,1.893,12.537,1.744,86.69
