period,city,sale_price_eur_m2,rent_price_eur_m2_month,demand_index,absorption_units_month,inventory_index
2021-01,Barcelona,4499.13,19.98,101.42,9.01,96.87
2021-02,Barcelona,4596.35,20.27,101.17,9.85,101.07
2021-03,Barcelona,4561.87,20.16,101.83,9.77,99.84
2021-04,Barcelona,4563.56,20.5,107.0,9.81,95.13
2021-05,Barcelona,4656.35,20.43,109.3,8.06,95.34
2021-06,Barcelona,4522.06,20.32,120.18,9.76,93.61
2021-07,Barcelona,4669.92,21.19,111.11,10.66,96.86
2021-08,Barcelona,4630.06,20.98,112.43,9.21,94.31
2021-09,Barcelona,4668.44,21.67,108.86,9.85,95.2
2021-10,Barcelona,4743.98,20.91,115.64,8.56,89.16
2021-11,Barcelona,4791.12,20.74,114.23,7.58,90.66
2021-12,Barcelona,4674.65,20.97,108.73,8.13,92.81
2022-01,Barcelona,4712.37,21.24,102.6,7.47,99.86
2022-02,Barcelona,4647.08,21.58,113.02,6.8,94.11
2022-03,Barcelona,4790.44,21.1,108.91,8.28,94.1
2022-04,Barcelona,4780.96,21.1,107.25,7.46,91.45
2022-05,Barcelona,4728.93,21.8,106.74,6.45,94.54
2022-06,Barcelona,4823.08,21.57,105.78,6.96,96.41
2022-07,Barcelona,4868.52,21.55,106.03,7.53,99.6
2022-08,Barcelona,4798.88,22.9,99.51,6.5,100.17
2022-09,Barcelona,4749.84,22.48,94.27,6.92,105.13
2022-10,Barcelona,4882.67,21.75,92.96,3.94,102.91
2022-11,Barcelona,4911.51,22.02,89.88,5.79,107.23
2022-12,Barcelona,4868.72,22.95,88.11,6.17,104.4
2023-01,Barcelona,5028.38,22.35,97.32,5.68,104.57
2023-02,Barcelona,4911.05,22.7,82.67,6.34,105.45
2023-03,Barcelona,4935.8,21.83,86.27,7.02,107.38
2023-04,Barcelona,4850.03,21.76,88.12,7.53,103.23
2023-05,Barcelona,5091.22,22.61,78.17,5.17,111.52
2023-06,Barcelona,4973.12,23.3,81.49,6.69,108.34
2023-07,Barcelona,4969.96,22.62,85.51,6.94,107.19
2023-08,Barcelona,5012.11,23.35,83.2,5.58,109.8
2023-09,Barcelona,4946.33,22.79,86.95,6.76,102.67
2023-10,Barcelona,4987.01,23.29,91.07,7.93,102.93
2023-11,Barcelona,5102.16,22.9,84.6,8.05,108.62
2023-12,Barcelona,5018.35,23.68,91.78,8.6,107.54
2024-01,Barcelona,5074.08,23.18,97.05,9.64,102.21
2024-02,Barcelona,5232.29,23.47,97.22,8.13,101.39
2024-03,Barcelona,4963.84,23.25,100.38,9.04,104.1
2024-04,Barcelona,5121.28,22.74,100.84,9.3,99.83
2024-05,Barcelona,5243.02,23.99,110.39,9.13,97.74
2024-06,Barcelona,5087.46,24.08,107.52,8.34,97.92
2024-07,Barcelona,5258.28,23.6,116.63,8.34,89.88
2024-08,Barcelona,5168.9,23.7,109.15,9.91,94.72
2024-09,Barcelona,5169.83,24.05,110.24,9.82,93.97
2024-10,Barcelona,5127.75,24.33,120.47,10.82,91.52
2024-11,Barcelona,5181.32,23.98,118.21,8.17,91.01
2024-12,Barcelona,5289.91,23.72,115.61,10.29,89.78
2025-01,Barcelona,5261.35,24.01,115.11,10.49,94.08
2025-02,Barcelona,5275.7,24.46,107.9,9.85,94.69
2025-03,Barcelona,5356.04,24.71,114.11,11.13,92.92
2025-04,Barcelona,5264.2,24.37,103.44,8.39,99.82
2025-05,Barcelona,5222.16,24.16,107.63,9.11,98.52
2025-06,Barcelona,5336.17,24.35,109.87,9.82,92.45
2025-07,Barcelona,5364.49,24.47,100.8,10.51,99.91
2025-08,Barcelona,5347.96,24.88,104.93,8.21,96.61
2025-09,Barcelona,5422.56,24.31,103.03,7.23,98.1
2025-10,Barcelona,5284.96,24.58,101.91,9.09,101.67
2025-11,Barcelona,5310.44,24.66,95.83,8.55,100.12
2025-12,Barcelona,5384.75,24.71,99.02,7.33,100.51
2021-01,Madrid,4355.46,18.6,96.19,10.93,98.9
2021-02,Madrid,4440.81,17.65,101.94,11.28,100.66
2021-03,Madrid,4406.98,17.97,101.72,11.0,100.27
2021-04,Madrid,4452.33,18.45,105.69,10.45,98.01
2021-05,Madrid,4397.89,17.98,112.6,10.06,93.0
2021-06,Madrid,4500.68,18.66,111.55,10.26,96.27
2021-07,Madrid,4457.64,18.58,119.84,8.79,92.71
2021-08,Madrid,4447.75,18.88,117.91,8.92,93.26
2021-09,Madrid,4485.29,18.56,118.71,9.5,90.62
2021-10,Madrid,4554.72,18.56,113.87,8.34,95.41
2021-11,Madrid,4466.16,19.22,116.27,8.13,96.7
2021-12,Madrid,4463.58,18.5,116.83,6.44,95.71
2022-01,Madrid,4533.59,18.57,108.73,6.58,96.91
2022-02,Madrid,4455.11,19.35,110.07,7.24,96.59
2022-03,Madrid,4597.12,19.65,107.2,7.33,95.36
2022-04,Madrid,4581.82,19.03,106.2,6.77,97.86
2022-05,Madrid,4586.13,19.57,105.4,6.41,97.99
2022-06,Madrid,4540.83,19.67,102.46,6.82,99.38
2022-07,Madrid,4719.92,19.67,101.56,5.92,101.06
2022-08,Madrid,4612.54,19.05,98.12,6.46,99.05
2022-09,Madrid,4637.2,19.65,96.34,7.17,98.76
2022-10,Madrid,4792.37,19.74,96.64,6.19,97.71
2022-11,Madrid,4605.47,19.64,96.22,4.92,99.82
2022-12,Madrid,4699.91,20.07,92.16,5.21,100.01
2023-01,Madrid,4739.07,20.5,87.43,5.1,104.71
2023-02,Madrid,4744.36,19.97,93.18,6.8,103.47
2023-03,Madrid,4605.87,19.87,84.46,5.55,107.41
2023-04,Madrid,4761.93,19.59,89.35,6.28,105.58
2023-05,Madrid,4811.48,19.99,91.04,6.3,107.36
2023-06,Madrid,4719.3,20.87,82.67,8.63,105.7
2023-07,Madrid,4861.32,20.29,89.82,6.77,102.18
2023-08,Madrid,4624.63,21.41,88.3,4.67,105.93
2023-09,Madrid,4866.86,20.31,86.56,7.25,108.69
2023-10,Madrid,4843.13,21.18,95.61,7.35,98.52
2023-11,Madrid,4836.57,20.91,93.28,8.3,104.92
2023-12,Madrid,4900.74,20.69,97.27,9.86,97.95
2024-01,Madrid,4912.64,21.53,92.77,9.14,105.75
2024-02,Madrid,4799.23,21.2,98.75,8.55,99.85
2024-03,Madrid,4995.99,20.97,100.34,8.5,99.1
2024-04,Madrid,4854.65,20.92,104.97,9.41,100.41
2024-05,Madrid,4955.55,20.99,102.62,9.54,98.56
2024-06,Madrid,4949.07,21.33,110.73,9.71,94.8
2024-07,Madrid,4917.03,21.09,113.78,9.32,90.84
2024-08,Madrid,5059.73,21.04,111.96,10.19,94.63
2024-09,Madrid,4837.12,21.6,118.22,10.53,87.13
2024-10,Madrid,5152.36,21.05,109.33,10.59,96.8
2024-11,Madrid,5033.55,21.4,119.3,9.97,87.87
2024-12,Madrid,5123.46,21.76,118.37,10.45,96.99
2025-01,Madrid,5037.57,21.76,116.33,9.71,94.42
2025-02,Madrid,4880.22,21.8,112.19,9.76,92.59
2025-03,Madrid,5146.41,21.72,112.19,9.73,95.62
2025-04,Madrid,5195.4,22.05,113.22,9.73,92.94
2025-05,Madrid,5107.54,21.95,110.31,9.52,93.61
2025-06,Madrid,5117.04,21.57,105.25,9.24,101.62
2025-07,Madrid,5234.26,21.82,104.57,9.19,97.44
2025-08,Madrid,5150.14,22.14,108.93,8.44,96.73
2025-09,Madrid,5010.74,22.65,103.8,7.67,97.16
2025-10,Madrid,5219.97,22.43,98.59,8.02,104.73
2025-11,Madrid,5161.55,23.47,99.44,8.64,97.96
2025-12,Madrid,5279.36,22.79,83.91,6.59,108.03
2021-01,Malaga,3632.72,14.55,104.32,9.29,97.06
2021-02,Malaga,3617.01,14.91,95.48,9.58,98.24
2021-03,Malaga,3647.59,15.03,107.62,9.34,97.74
2021-04,Malaga,3666.91,15.28,106.3,7.46,99.14
2021-05,Malaga,3664.29,14.86,110.12,8.57,95.61
2021-06,Malaga,3730.88,15.11,108.1,10.35,94.16
2021-07,Malaga,3679.88,15.02,113.09,9.11,96.81
2021-08,Malaga,3742.5,15.14,114.02,9.75,94.22
2021-09,Malaga,3639.91,15.5,114.16,9.48,92.74
2021-10,Malaga,3651.31,14.57,110.21,9.1,98.26
2021-11,Malaga,3779.88,14.99,110.76,9.52,92.28
2021-12,Malaga,3890.49,15.91,121.94,8.46,89.38
2022-01,Malaga,3807.52,15.68,109.92,7.01,94.91
2022-02,Malaga,3758.24,15.84,108.83,7.7,98.19
2022-03,Malaga,3882.63,15.6,111.27,6.54,97.18
2022-04,Malaga,3894.07,15.05,114.95,6.55,94.58
2022-05,Malaga,3841.66,15.64,105.01,6.08,98.9
2022-06,Malaga,3834.14,15.33,99.46,5.63,99.09
2022-07,Malaga,3888.59,15.57,105.17,6.38,97.04
2022-08,Malaga,3875.36,16.25,93.41,7.64,105.08
2022-09,Malaga,3885.6,16.24,95.27,6.41,100.94
2022-10,Malaga,3951.89,15.75,94.11,6.63,104.95
2022-11,Malaga,3866.62,16.24,88.32,4.3,103.61
2022-12,Malaga,3969.37,16.07,88.25,6.04,105.34
2023-01,Malaga,3970.09,15.66,88.4,6.11,102.22
2023-02,Malaga,3873.18,16.09,87.58,6.07,104.36
2023-03,Malaga,3928.2,16.14,87.84,7.14,100.59
2023-04,Malaga,4007.17,16.28,88.23,7.21,103.63
2023-05,Malaga,4037.05,16.01,86.52,6.22,106.17
2023-06,Malaga,3943.83,16.56,92.63,5.82,103.73
2023-07,Malaga,4056.9,16.41,92.4,6.45,103.16
2023-08,Malaga,3968.28,16.59,88.02,7.53,103.99
2023-09,Malaga,3997.61,16.75,94.98,7.77,106.32
2023-10,Malaga,4077.51,16.83,93.81,8.72,105.51
2023-11,Malaga,4000.29,16.97,94.1,7.64,98.75
2023-12,Malaga,3987.77,16.69,89.33,7.79,106.37
2024-01,Malaga,4052.48,16.88,93.19,8.58,104.18
2024-02,Malaga,4018.85,16.69,94.76,9.01,102.72
2024-03,Malaga,4106.17,16.93,103.49,9.13,97.34
2024-04,Malaga,4086.52,17.01,103.74,10.74,97.47
2024-05,Malaga,4149.38,17.23,112.27,8.66,97.43
2024-06,Malaga,4137.85,17.89,110.1,8.52,95.02
2024-07,Malaga,4231.2,17.24,110.14,10.24,94.68
2024-08,Malaga,4159.07,16.99,118.73,8.82,91.94
2024-09,Malaga,4209.12,17.33,107.9,9.1,97.59
2024-10,Malaga,4152.67,16.78,115.19,9.27,94.55
2024-11,Malaga,4196.58,17.38,114.19,9.09,91.8
2024-12,Malaga,4205.74,17.17,116.77,9.75,89.27
2025-01,Malaga,4201.75,17.6,111.66,10.27,96.01
2025-02,Malaga,4375.74,17.97,106.05,9.58,96.69
2025-03,Malaga,4288.35,17.42,109.26,8.76,94.51
2025-04,Malaga,4238.44,17.66,105.11,10.4,98.74
2025-05,Malaga,4202.52,17.82,101.77,10.51,102.75
2025-06,Malaga,4290.92,17.62,103.33,8.88,98.27
2025-07,Malaga,4381.13,18.21,107.65,9.15,94.02
2025-08,Malaga,4276.6,18.01,96.63,9.02,103.29
2025-09,Malaga,4360.76,18.2,91.6,9.58,100.33
2025-10,Malaga,4334.98,18.29,98.16,7.23,98.41
2025-11,Malaga,4371.34,18.32,90.05,8.29,101.15
2025-12,Malaga,4402.09,17.97,92.71,7.64,105.84
2021-01,Sevilla,2930.61,11.96,101.44,11.71,100.98
2021-02,Sevilla,2927.31,11.95,99.9,10.53,98.1
2021-03,Sevilla,2939.91,12.55,105.26,9.06,102.43
2021-04,Sevilla,3026.89,12.37,111.92,9.62,96.23
2021-05,Sevilla,2941.04,11.97,119.15,8.59,92.04
2021-06,Sevilla,2982.01,12.47,110.14,9.49,95.74
2021-07,Sevilla,3000.41,12.39,111.63,8.32,99.19
2021-08,Sevilla,3012.75,12.5,110.48,8.36,97.18
2021-09,Sevilla,2992.18,12.64,108.27,10.17,98.26
2021-10,Sevilla,3005.53,12.66,116.95,7.62,96.06
2021-11,Sevilla,3040.15,12.42,109.51,9.22,96.19
2021-12,Sevilla,3050.02,12.65,109.39,8.57,95.34
2022-01,Sevilla,3037.83,13.27,116.0,8.63,98.78
2022-02,Sevilla,3065.52,12.77,108.57,7.26,91.64
2022-03,Sevilla,3093.2,12.48,113.34,7.32,94.28
2022-04,Sevilla,3066.62,13.17,112.73,7.08,92.29
2022-05,Sevilla,3118.84,12.65,99.61,7.27,102.85
2022-06,Sevilla,3070.53,13.03,101.94,7.24,101.54
2022-07,Sevilla,3086.66,12.74,95.44,7.21,99.55
2022-08,Sevilla,3124.36,13.22,96.89,6.18,103.6
2022-09,Sevilla,3082.57,12.86,95.62,7.2,105.51
2022-10,Sevilla,3123.54,12.96,98.58,4.75,101.19
2022-11,Sevilla,3135.84,13.5,97.82,5.27,101.35
2022-12,Sevilla,3122.67,13.16,92.86,5.73,103.64
2023-01,Sevilla,3199.49,13.65,89.96,6.11,102.08
2023-02,Sevilla,3236.92,13.45,88.1,6.13,106.15
2023-03,Sevilla,3211.16,13.6,93.09,6.34,106.97
2023-04,Sevilla,3233.58,13.41,79.46,6.33,112.67
2023-05,Sevilla,3163.2,13.5,86.67,7.17,105.15
2023-06,Sevilla,3168.97,13.67,83.31,5.12,111.56
2023-07,Sevilla,3257.55,14.03,90.46,7.34,105.11
2023-08,Sevilla,3218.7,13.75,85.79,6.17,105.66
2023-09,Sevilla,3293.31,13.38,84.53,7.74,106.05
2023-10,Sevilla,3267.91,13.96,92.93,7.02,106.0
2023-11,Sevilla,3289.05,13.78,92.95,8.1,102.49
2023-12,Sevilla,3194.99,14.0,97.95,6.23,102.05
2024-01,Sevilla,3353.27,13.6,97.18,8.19,104.92
2024-02,Sevilla,3335.33,13.71,101.2,10.44,98.09
2024-03,Sevilla,3295.65,14.09,99.76,10.26,99.07
2024-04,Sevilla,3245.19,13.89,107.11,8.45,97.47
2024-05,Sevilla,3340.57,13.78,104.41,9.58,99.56
2024-06,Sevilla,3302.23,14.15,107.51,10.08,97.76
2024-07,Sevilla,3319.37,14.28,108.73,10.03,97.11
2024-08,Sevilla,3449.48,14.14,111.25,9.28,92.66
2024-09,Sevilla,3335.53,14.43,115.86,10.14,92.21
2024-10,Sevilla,3343.81,14.09,111.41,8.93,97.85
2024-11,Sevilla,3455.79,13.9,115.13,10.22,93.65
2024-12,Sevilla,3359.26,14.66,115.55,10.82,91.38
2025-01,Sevilla,3334.54,14.57,109.6,10.79,91.0
2025-02,Sevilla,3384.49,14.36,111.27,10.08,95.8
2025-03,Sevilla,3442.94,14.74,110.7,11.45,98.24
2025-04,Sevilla,3411.15,14.58,108.52,9.9,94.03
2025-05,Sevilla,3400.13,14.13,106.44,10.29,96.77
2025-06,Sevilla,3440.4,14.78,101.98,9.26,101.07
2025-07,Sevilla,3467.94,14.99,108.82,9.54,94.46
2025-08,Sevilla,3449.33,15.27,102.69,8.92,96.9
2025-09,Sevilla,3470.3,15.03,99.13,8.1,99.76
2025-10,Sevilla,3536.41,15.07,98.86,8.6,97.91
