reservation_id,lead_id,customer_id,project_id,unit_id,reservation_date,deposit_eur,financing_ratio,status,cancel_date
RES_0000001,LEAD_0006374,CUS_004809,PRJ_0024,PRJ_0024_U008,2024-03-21,7184.06,0.604,converted,
RES_0000002,LEAD_0000674,CUS_006308,PRJ_0005,PRJ_0005_U053,2024-12-04,12916.62,0.611,converted,
RES_0000003,LEAD_0002222,CUS_005389,PRJ_0008,PRJ_0008_U063,2024-04-08,12692.3,0.785,converted,
RES_0000004,LEAD_0006460,CUS_005346,PRJ_0025,PRJ_0025_U025,2023-07-02,14885.13,0.457,converted,
RES_0000005,LEAD_0005643,CUS_003746,PRJ_0015,PRJ_0015_U060,2023-05-17,24023.24,0.505,converted,
RES_0000006,LEAD_0005838,CUS_001503,PRJ_0014,PRJ_0014_U085,2025-12-05,11595.15,0.311,converted,
RES_0000007,LEAD_0008787,CUS_001287,PRJ_0004,PRJ_0004_U060,2023-07-28,9521.77,0.492,converted,
RES_0000008,LEAD_0008175,CUS_003114,PRJ_0017,PRJ_0017_U099,2023-02-07,19557.6,0.516,converted,
RES_0000009,LEAD_0004378,CUS_006322,PRJ_0001,PRJ_0001_U006,2025-12-25,33373.04,0.523,converted,
RES_0000010,LEAD_0001559,CUS_004058,PRJ_0007,PRJ_0007_U076,2025-10-23,26685.6,0.486,converted,
RES_0000011,LEAD_0005174,CUS_005682,PRJ_0027,PRJ_0027_U094,2024-09-06,11375.83,0.675,converted,
RES_0000012,LEAD_0009213,CUS_001927,PRJ_0015,PRJ_0015_U034,2025-02-20,12878.03,0.852,converted,
RES_0000013,LEAD_0010376,CUS_004203,PRJ_0026,PRJ_0026_U058,2025-05-06,8083.03,0.315,converted,
RES_0000014,LEAD_0008904,CUS_006340,PRJ_0018,PRJ_0018_U008,2021-05-11,19122.57,0.376,converted,
RES_0000015,LEAD_0008180,CUS_000110,PRJ_0008,PRJ_0008_U037,2021-07-27,10285.4,0.516,converted,
RES_0000016,LEAD_0010315,CUS_002915,PRJ_0017,PRJ_0017_U034,2023-07-24,11275.67,0.292,converted,
RES_0000017,LEAD_0007782,CUS_000597,PRJ_0026,PRJ_0026_U047,2024-02-17,22347.42,0.374,converted,
RES_0000018,LEAD_0001278,CUS_005459,PRJ_0027,PRJ_0027_U029,2023-02-11,10683.59,0.665,converted,
RES_0000019,LEAD_0002904,CUS_002941,PRJ_0021,PRJ_0021_U003,2022-08-25,14795.9,0.607,converted,
RES_0000020,LEAD_0008945,CUS_005941,PRJ_0001,PRJ_0001_U027,2023-04-19,25683.9,0.751,converted,
RES_0000021,LEAD_0006235,CUS_005349,PRJ_0016,PRJ_0016_U029,2026-01-05,10884.76,0.659,converted,
RES_0000022,LEAD_0001922,CUS_003775,PRJ_0002,PRJ_0002_U004,2022-10-18,41279.47,0.652,converted,
RES_0000023,LEAD_0001632,CUS_002302,PRJ_0028,PRJ_0028_U035,2021-12-20,18149.17,0.399,converted,
RES_0000024,LEAD_0003384,CUS_001855,PRJ_0013,PRJ_0013_U009,2023-02-25,18584.72,0.386,converted,
RES_0000025,LEAD_0007891,CUS_002019,PRJ_0014,PRJ_0014_U104,2025-01-19,18673.55,0.575,converted,
RES_0000026,LEAD_0001248,CUS_000483,PRJ_0003,PRJ_0003_U046,2022-09-30,21859.07,0.528,converted,
RES_0000027,LEAD_0007504,CUS_001349,PRJ_0023,PRJ_0023_U052,2024-06-02,28571.41,0.43,converted,
RES_0000028,LEAD_0005072,CUS_005861,PRJ_0021,PRJ_0021_U028,2025-10-05,10402.22,0.685,converted,
RES_0000029,LEAD_0005282,CUS_005583,PRJ_0018,PRJ_0018_U075,2023-10-27,28299.99,0.088,converted,
RES_0000030,LEAD_0002702,CUS_003388,PRJ_0001,PRJ_0001_U038,2025-04-09,70878.06,0.52,converted,
RES_0000031,LEAD_0003747,CUS_004731,PRJ_0024,PRJ_0024_U017,2021-03-28,29154.36,0.46,converted,
RES_0000032,LEAD_0002933,CUS_000709,PRJ_0019,PRJ_0019_U091,2021-06-25,40390.7,0.681,converted,
RES_0000033,LEAD_0004003,CUS_000540,PRJ_0015,PRJ_0015_U010,2022-08-23,16818.45,0.365,converted,
RES_0000034,LEAD_0006097,CUS_002543,PRJ_0002,PRJ_0002_U044,2023-02-02,9004.49,0.501,converted,
RES_0000035,LEAD_0010209,CUS_005100,PRJ_0009,PRJ_0009_U071,2021-06-09,25679.41,0.59,converted,
RES_0000036,LEAD_0002479,CUS_005594,PRJ_0016,PRJ_0016_U075,2021-11-03,15352.02,0.541,converted,
RES_0000037,LEAD_0007377,CUS_000823,PRJ_0001,PRJ_0001_U012,2021-10-10,22802.09,0.399,converted,
RES_0000038,LEAD_0004831,CUS_004360,PRJ_0020,PRJ_0020_U008,2023-11-15,11597.74,0.428,converted,
RES_0000039,LEAD_0007838,CUS_001892,PRJ_0007,PRJ_0007_U067,2024-12-16,14625.87,0.473,converted,
RES_0000040,LEAD_0003704,CUS_001479,PRJ_0016,PRJ_0016_U098,2024-04-16,23899.18,0.54,converted,
RES_0000041,LEAD_0001057,CUS_003888,PRJ_0012,PRJ_0012_U055,2022-01-23,15390.33,0.615,converted,
RES_0000042,LEAD_0008696,CUS_006343,PRJ_0005,PRJ_0005_U026,2026-01-05,6919.11,0.649,converted,
RES_0000043,LEAD_0008628,CUS_004825,PRJ_0014,PRJ_0014_U102,2024-03-28,21500.41,0.54,converted,
RES_0000044,LEAD_0001524,CUS_003599,PRJ_0002,PRJ_0002_U034,2022-01-20,17533.62,0.281,converted,
RES_0000045,LEAD_0008502,CUS_006175,PRJ_0001,PRJ_0001_U042,2024-08-19,16383.47,0.637,converted,
RES_0000046,LEAD_0006962,CUS_006344,PRJ_0021,PRJ_0021_U037,2023-02-08,26866.86,0.762,converted,
RES_0000047,LEAD_0003017,CUS_005930,PRJ_0026,PRJ_0026_U017,2024-11-12,18588.77,0.695,converted,
RES_0000048,LEAD_0007840,CUS_000683,PRJ_0017,PRJ_0017_U033,2024-05-26,26165.13,0.619,converted,
RES_0000049,LEAD_0009542,CUS_001653,PRJ_0011,PRJ_0011_U070,2024-01-28,26232.43,0.623,converted,
RES_0000050,LEAD_0001884,CUS_003952,PRJ_0005,PRJ_0005_U066,2022-08-31,31749.81,0.818,converted,
RES_0000051,LEAD_0006329,CUS_005408,PRJ_0028,PRJ_0028_U050,2024-10-11,20556.06,0.462,converted,
RES_0000052,LEAD_0005099,CUS_000982,PRJ_0026,PRJ_0026_U044,2023-12-29,16709.67,0.54,converted,
RES_0000053,LEAD_0006301,CUS_004384,PRJ_0012,PRJ_0012_U037,2024-02-17,10107.27,0.515,converted,
RES_0000054,LEAD_0008599,CUS_005307,PRJ_0024,PRJ_0024_U051,2024-03-12,12824.82,0.648,converted,
RES_0000055,LEAD_0008251,CUS_000951,PRJ_0023,PRJ_0023_U037,2025-03-09,16658.61,0.628,converted,
RES_0000056,LEAD_0006114,CUS_001752,PRJ_0010,PRJ_0010_U013,2023-09-23,18444.22,0.276,converted,
RES_0000057,LEAD_0000120,CUS_000987,PRJ_0019,PRJ_0019_U046,2024-02-09,22656.41,0.488,converted,
RES_0000058,LEAD_0000488,CUS_001670,PRJ_0010,PRJ_0010_U043,2021-09-23,7160.01,0.313,converted,
RES_0000059,LEAD_0006327,CUS_002892,PRJ_0010,PRJ_0010_U059,2025-12-16,13958.13,0.723,converted,
RES_0000060,LEAD_0003521,CUS_002950,PRJ_0014,PRJ_0014_U058,2025-03-11,13276.97,0.481,converted,
RES_0000061,LEAD_0006637,CUS_002507,PRJ_0028,PRJ_0028_U046,2022-05-15,18975.45,0.398,converted,
RES_0000062,LEAD_0007820,CUS_002468,PRJ_0008,PRJ_0008_U092,2024-02-28,14580.3,0.627,converted,
RES_0000063,LEAD_0001112,CUS_003197,PRJ_0016,PRJ_0016_U096,2022-04-13,9998.36,0.612,converted,
RES_0000064,LEAD_0004615,CUS_005442,PRJ_0006,PRJ_0006_U011,2023-10-28,24494.44,0.736,converted,
RES_0000065,LEAD_0002329,CUS_003511,PRJ_0026,PRJ_0026_U070,2025-03-02,16090.88,0.434,converted,
RES_0000066,LEAD_0010320,CUS_003301,PRJ_0003,PRJ_0003_U005,2021-04-30,18903.07,0.704,converted,
RES_0000067,LEAD_0009204,CUS_004966,PRJ_0023,PRJ_0023_U068,2024-01-11,28650.96,0.413,converted,
RES_0000068,LEAD_0006862,CUS_005326,PRJ_0027,PRJ_0027_U031,2021-02-19,15406.31,0.678,converted,
RES_0000069,LEAD_0002677,CUS_002316,PRJ_0020,PRJ_0020_U014,2022-12-13,29377.15,0.443,converted,
RES_0000070,LEAD_0009449,CUS_002966,PRJ_0012,PRJ_0012_U121,2025-03-07,15347.83,0.575,converted,
RES_0000071,LEAD_0008198,CUS_001693,PRJ_0009,PRJ_0009_U047,2023-09-15,20710.27,0.541,converted,
RES_0000072,LEAD_0009669,CUS_001918,PRJ_0027,PRJ_0027_U010,2024-06-09,11100.0,0.335,converted,
RES_0000073,LEAD_0003915,CUS_001827,PRJ_0026,PRJ_0026_U018,2023-08-19,20274.43,0.488,converted,
RES_0000074,LEAD_0008965,CUS_002374,PRJ_0015,PRJ_0015_U053,2024-08-17,13850.32,0.765,converted,
RES_0000075,LEAD_0006394,CUS_005933,PRJ_0001,PRJ_0001_U001,2025-03-01,21200.05,0.397,converted,
RES_0000076,LEAD_0009616,CUS_000836,PRJ_0017,PRJ_0017_U026,2023-12-04,17585.36,0.548,converted,
RES_0000077,LEAD_0001661,CUS_003159,PRJ_0014,PRJ_0014_U059,2024-03-25,13146.51,0.589,converted,
RES_0000078,LEAD_0004420,CUS_001807,PRJ_0008,PRJ_0008_U100,2023-09-28,25227.08,0.779,converted,
RES_0000079,LEAD_0007227,CUS_004443,PRJ_0017,PRJ_0017_U092,2024-04-15,11370.88,0.85,converted,
