transaction_id,reservation_id,customer_id,project_id,unit_id,transaction_date,list_price_eur,discount_pct,final_price_eur,estimated_cost_eur,estimated_margin_eur,expected_rent_eur_month,gross_yield_pct
TRX_0000001,RES_0000001,CUS_004809,PRJ_0024,PRJ_0024_U008,2024-04-12,196423.95,0.0226,191990.5,148819.83,43170.67,640.6,4.004
TRX_0000002,RES_0000002,CUS_006308,PRJ_0005,PRJ_0005_U053,2024-12-26,266902.32,0.0303,258822.63,197831.37,60991.27,1326.7,6.151
TRX_0000003,RES_0000003,CUS_005389,PRJ_0008,PRJ_0008_U063,2024-04-30,224903.91,0.0501,213639.27,185057.64,28581.63,849.68,4.773
TRX_0000004,RES_0000004,CUS_005346,PRJ_0025,PRJ_0025_U025,2026-03-28,460251.5,0.0359,443719.44,336911.27,106808.17,2241.96,6.063
TRX_0000005,RES_0000005,CUS_003746,PRJ_0015,PRJ_0015_U060,2024-08-31,304174.31,0.0314,294619.33,247470.77,47148.56,1258.81,5.127
TRX_0000006,RES_0000006,CUS_001503,PRJ_0014,PRJ_0014_U085,2026-01-30,218509.72,0.0306,211815.05,158671.7,53143.35,932.56,5.283
TRX_0000007,RES_0000007,CUS_001287,PRJ_0004,PRJ_0004_U060,2026-07-28,241512.38,0.0294,234411.61,210793.68,23617.94,770.87,3.946
TRX_0000008,RES_0000008,CUS_003114,PRJ_0017,PRJ_0017_U099,2026-05-02,381897.06,0.0287,370943.99,282278.09,88665.9,1696.03,5.487
TRX_0000009,RES_0000009,CUS_006322,PRJ_0001,PRJ_0001_U006,2026-01-16,510284.65,0.047,486282.24,407381.78,78900.46,2652.16,6.545
TRX_0000010,RES_0000010,CUS_004058,PRJ_0007,PRJ_0007_U076,2025-11-14,421277.41,0.0463,401752.62,332280.66,69471.96,1490.36,4.452
TRX_0000011,RES_0000011,CUS_005682,PRJ_0027,PRJ_0027_U094,2025-03-07,200244.5,0.0321,193812.23,144793.49,49018.73,990.07,6.13
TRX_0000012,RES_0000012,CUS_001927,PRJ_0015,PRJ_0015_U034,2025-03-14,228371.17,0.0322,221013.36,188410.02,32603.34,1191.5,6.469
TRX_0000013,RES_0000013,CUS_004203,PRJ_0026,PRJ_0026_U058,2025-05-28,230540.44,0.023,225237.39,158540.38,66697.02,897.82,4.783
TRX_0000014,RES_0000014,CUS_006340,PRJ_0018,PRJ_0018_U008,2026-01-01,356785.36,0.0236,348365.67,234011.48,114354.19,1490.81,5.135
TRX_0000015,RES_0000015,CUS_000110,PRJ_0008,PRJ_0008_U037,2022-11-21,330685.96,0.0202,324019.94,283506.72,40513.22,1377.21,5.1
TRX_0000016,RES_0000016,CUS_002915,PRJ_0017,PRJ_0017_U034,2026-05-31,230424.45,0.0158,226782.11,165535.94,61246.17,805.01,4.26
TRX_0000017,RES_0000017,CUS_000597,PRJ_0026,PRJ_0026_U047,2024-10-23,326822.07,0.0239,319008.18,245060.4,73947.78,1707.15,6.422
TRX_0000018,RES_0000018,CUS_005459,PRJ_0027,PRJ_0027_U029,2025-01-16,305578.71,0.0319,295845.27,224104.63,71740.64,1219.44,4.946
TRX_0000019,RES_0000019,CUS_002941,PRJ_0021,PRJ_0021_U003,2024-07-20,399817.3,0.0387,384353.33,273738.01,110615.32,1620.01,5.058
TRX_0000020,RES_0000020,CUS_005941,PRJ_0001,PRJ_0001_U027,2023-07-09,433407.2,0.0402,416002.1,334771.78,81230.32,1431.48,4.129
TRX_0000021,RES_0000021,CUS_005349,PRJ_0016,PRJ_0016_U029,2026-01-27,234497.61,0.0194,229953.78,173116.15,56837.63,749.59,3.912
TRX_0000022,RES_0000022,CUS_003775,PRJ_0002,PRJ_0002_U004,2025-03-16,580469.19,0.0274,564535.79,371188.11,193347.68,2351.33,4.998
TRX_0000023,RES_0000023,CUS_002302,PRJ_0028,PRJ_0028_U035,2025-11-26,346778.79,0.0376,333723.84,250993.75,82730.09,1821.72,6.551
