unit_id,project_id,bedrooms,sqm,floor,has_terrace,has_garage,has_storage,energy_rating,list_price_eur,expected_rent_eur_month,status
PRJ_0001_U001,PRJ_0001,3,138.53,7,0,1,0,C,683325.19,2837.87,available
PRJ_0001_U002,PRJ_0001,2,97.98,1,0,0,1,C,438532.78,1858.61,available
PRJ_0001_U003,PRJ_0001,2,97.87,5,0,1,0,A,429310.84,2320.32,available
PRJ_0001_U004,PRJ_0001,3,118.17,13,0,0,0,C,579250.81,2713.51,available
PRJ_0001_U005,PRJ_0001,4,94.85,0,1,1,1,C,474219.37,2370.91,available
PRJ_0001_U006,PRJ_0001,3,109.11,12,0,1,0,B,510284.65,2652.16,available
PRJ_0001_U007,PRJ_0001,2,72.26,9,1,1,0,D,388164.7,1917.05,available
PRJ_0001_U008,PRJ_0001,1,54.73,3,1,0,0,B,255782.02,916.55,available
PRJ_0001_U009,PRJ_0001,2,92.94,10,0,1,1,C,455548.12,2018.78,available
PRJ_0001_U010,PRJ_0001,2,97.4,11,0,1,1,D,483048.94,1640.4,available
PRJ_0001_U011,PRJ_0001,3,125.94,0,0,1,1,B,580402.02,2690.59,available
PRJ_0001_U012,PRJ_0001,2,78.74,1,1,1,1,C,398129.11,2116.54,available
PRJ_0001_U013,PRJ_0001,3,120.63,9,0,1,1,B,574580.1,2482.37,available
PRJ_0001_U014,PRJ_0001,3,104.01,13,1,0,0,C,500860.02,2073.99,available
PRJ_0001_U015,PRJ_0001,3,107.96,0,0,1,0,C,540495.19,1755.16,available
PRJ_0001_U016,PRJ_0001,2,80.15,9,0,0,1,B,364846.48,1943.23,available
PRJ_0001_U017,PRJ_0001,3,130.09,1,1,0,1,B,554597.64,1884.76,available
PRJ_0001_U018,PRJ_0001,3,117.73,9,1,1,1,B,645926.74,2105.14,available
PRJ_0001_U019,PRJ_0001,3,131.06,8,1,1,1,A,750273.54,2791.26,available
PRJ_0001_U020,PRJ_0001,2,107.62,1,0,1,0,A,494196.24,1637.82,available
PRJ_0001_U021,PRJ_0001,2,91.28,9,0,1,1,B,403441.38,1690.69,available
PRJ_0001_U022,PRJ_0001,4,127.41,12,0,1,1,A,613850.35,2656.66,available
PRJ_0001_U023,PRJ_0001,2,87.2,12,0,0,0,A,406796.41,1574.28,available
PRJ_0001_U024,PRJ_0001,2,81.72,0,0,0,1,C,377549.23,1238.86,available
PRJ_0001_U025,PRJ_0001,2,83.83,3,1,0,1,C,383787.29,1311.7,available
PRJ_0001_U026,PRJ_0001,3,127.96,3,0,1,0,C,617137.26,2488.17,available
PRJ_0001_U027,PRJ_0001,4,85.9,6,1,0,0,B,433407.2,1431.48,available
PRJ_0001_U028,PRJ_0001,2,110.41,2,0,0,0,D,469452.04,2224.07,available
PRJ_0001_U029,PRJ_0001,4,156.22,11,0,1,0,C,780102.71,2833.69,available
PRJ_0001_U030,PRJ_0001,1,58.96,10,0,1,1,A,318135.98,1223.66,available
PRJ_0001_U031,PRJ_0001,3,100.37,11,0,1,0,A,488458.48,1979.94,available
PRJ_0001_U032,PRJ_0001,3,126.07,2,1,1,0,C,603714.58,2477.67,available
PRJ_0001_U033,PRJ_0001,2,96.25,0,0,1,0,A,447905.46,1420.04,available
PRJ_0001_U034,PRJ_0001,2,84.59,12,0,1,0,B,420692.77,1438.27,available
PRJ_0001_U035,PRJ_0001,2,86.87,4,0,1,0,D,371920.46,1899.73,available
PRJ_0001_U036,PRJ_0001,4,138.39,9,1,0,0,A,686007.14,2174.26,available
PRJ_0001_U037,PRJ_0001,3,108.98,12,1,0,1,A,532717.23,2296.03,available
PRJ_0001_U038,PRJ_0001,4,175.99,0,1,1,0,D,936409.91,3996.64,available
PRJ_0001_U039,PRJ_0001,3,66.43,0,1,0,1,C,319227.34,1250.14,available
PRJ_0001_U040,PRJ_0001,2,86.61,0,0,0,1,A,437634.04,1810.56,available
PRJ_0001_U041,PRJ_0001,3,126.18,2,0,1,0,D,558753.54,2750.73,available
PRJ_0001_U042,PRJ_0001,1,50.25,0,0,1,0,D,242435.43,1226.57,available
PRJ_0001_U043,PRJ_0001,2,80.41,11,0,1,0,B,394175.38,1479.12,available
PRJ_0001_U044,PRJ_0001,3,95.71,8,0,1,1,C,448045.21,1743.91,available
PRJ_0001_U045,PRJ_0001,3,113.21,13,1,0,0,B,561576.17,2084.71,available
PRJ_0001_U046,PRJ_0001,2,99.33,11,0,1,0,A,508301.95,2158.43,available
PRJ_0001_U047,PRJ_0001,3,88.21,13,1,1,1,C,440652.68,2072.83,available
PRJ_0001_U048,PRJ_0001,3,137.15,3,1,1,1,B,620168.44,2282.37,available
PRJ_0001_U049,PRJ_0001,3,108.19,4,0,1,1,C,514093.59,2010.53,available
PRJ_0001_U050,PRJ_0001,3,124.86,11,0,0,0,C,564282.35,2968.14,available
PRJ_0001_U051,PRJ_0001,2,81.08,3,1,1,1,A,393643.67,1289.56,available
PRJ_0001_U052,PRJ_0001,2,89.56,0,0,1,0,C,418072.71,1757.33,available
PRJ_0001_U053,PRJ_0001,2,106.59,9,0,1,1,B,477135.69,2274.83,available
PRJ_0001_U054,PRJ_0001,3,145.44,11,0,1,0,C,645030.22,2260.95,available
PRJ_0001_U055,PRJ_0001,3,143.34,13,0,1,1,B,718364.49,2351.39,available
PRJ_0001_U056,PRJ_0001,2,82.1,12,0,1,0,C,385758.01,1341.52,available
PRJ_0001_U057,PRJ_0001,2,105.71,1,1,1,1,B,455208.79,2382.57,available
PRJ_0001_U058,PRJ_0001,2,102.81,10,0,1,1,B,522867.56,1666.64,available
PRJ_0001_U059,PRJ_0001,3,122.87,11,0,0,0,C,589476.17,2116.45,available
PRJ_0001_U060,PRJ_0001,3,140.69,9,0,1,0,C,654584.13,2118.92,available
PRJ_0001_U061,PRJ_0001,2,68.02,11,0,1,0,B,306584.66,1047.17,available
PRJ_0001_U062,PRJ_0001,1,47.13,11,1,0,1,C,244820.22,1116.87,available
PRJ_0001_U063,PRJ_0001,3,87.03,6,0,0,1,D,425234.88,1577.77,available
PRJ_0001_U064,PRJ_0001,2,90.73,0,0,1,1,B,482903.07,2147.66,available
PRJ_0001_U065,PRJ_0001,3,96.75,6,0,1,1,B,483411.3,2172.74,available
PRJ_0001_U066,PRJ_0001,2,100.11,2,0,1,0,A,478296.14,2428.74,available
PRJ_0001_U067,PRJ_0001,2,86.2,1,0,1,0,C,400644.7,1272.98,available
PRJ_0002_U001,PRJ_0002,3,118.73,1,0,0,1,B,320808.52,1114.94,available
PRJ_0002_U002,PRJ_0002,2,105.39,1,0,1,0,A,294788.24,1366.97,available
PRJ_0002_U003,PRJ_0002,1,40.78,11,0,1,0,B,130239.12,550.0,available
PRJ_0002_U004,PRJ_0002,4,176.54,11,1,1,1,B,580469.19,2351.33,available
PRJ_0002_U005,PRJ_0002,2,72.19,10,0,1,1,A,235864.27,1211.31,available
PRJ_0002_U006,PRJ_0002,3,76.55,5,0,0,1,A,218849.81,1173.42,available
PRJ_0002_U007,PRJ_0002,2,85.93,6,0,0,0,C,238179.08,1222.0,available
PRJ_0002_U008,PRJ_0002,4,134.33,11,0,1,0,B,397931.14,1432.29,available
PRJ_0002_U009,PRJ_0002,2,70.91,2,0,1,1,B,210654.72,771.73,available
PRJ_0002_U010,PRJ_0002,2,99.55,11,0,0,0,A,293948.95,1364.76,available
PRJ_0002_U011,PRJ_0002,3,94.84,12,1,0,1,B,310507.3,1185.24,available
PRJ_0002_U012,PRJ_0002,4,126.63,9,1,1,1,B,392370.06,1891.14,available
PRJ_0002_U013,PRJ_0002,2,87.87,4,0,1,0,C,260441.35,1156.65,available
PRJ_0002_U014,PRJ_0002,2,95.86,7,0,1,1,B,277117.68,1221.04,available
PRJ_0002_U015,PRJ_0002,3,131.95,0,1,1,1,D,414167.54,2083.63,available
PRJ_0002_U016,PRJ_0002,3,100.62,13,0,0,1,D,300317.02,1431.12,available
PRJ_0002_U017,PRJ_0002,2,106.96,4,0,1,0,A,299872.1,967.53,available
PRJ_0002_U018,PRJ_0002,3,98.21,0,0,0,0,A,277134.65,908.43,available
PRJ_0002_U019,PRJ_0002,3,77.08,11,0,1,0,A,228999.76,1035.12,available
PRJ_0002_U020,PRJ_0002,3,70.94,9,0,1,1,C,212837.92,906.82,available
PRJ_0002_U021,PRJ_0002,3,114.85,8,0,0,1,A,373084.97,1399.85,available
PRJ_0002_U022,PRJ_0002,3,104.88,0,1,1,0,C,315903.23,1297.93,available
PRJ_0002_U023,PRJ_0002,2,83.26,10,0,1,1,C,250135.99,1218.65,available
PRJ_0002_U024,PRJ_0002,4,158.27,8,1,0,0,C,432874.67,2175.86,available
PRJ_0002_U025,PRJ_0002,3,116.53,11,0,0,0,B,327431.26,1450.33,available
PRJ_0002_U026,PRJ_0002,3,134.78,11,0,1,1,D,404511.51,1631.7,available
PRJ_0002_U027,PRJ_0002,1,49.24,2,0,1,0,A,138512.88,550.0,available
PRJ_0002_U028,PRJ_0002,2,72.62,2,0,1,1,B,229454.2,996.06,available
PRJ_0002_U029,PRJ_0002,3,94.37,12,0,1,1,B,284647.54,1102.97,available
PRJ_0002_U030,PRJ_0002,1,63.77,7,0,1,1,D,206428.47,915.69,available
PRJ_0002_U031,PRJ_0002,4,180.0,6,0,1,1,C,549111.28,2574.86,available
PRJ_0002_U032,PRJ_0002,2,95.65,4,0,0,0,C,273649.83,907.24,available
PRJ_0002_U033,PRJ_0002,3,71.76,8,1,0,0,A,218277.93,691.74,available
PRJ_0002_U034,PRJ_0002,4,106.41,10,0,0,0,D,313042.2,1140.82,available
PRJ_0002_U035,PRJ_0002,2,65.65,0,0,0,0,B,203569.61,1054.35,available
PRJ_0002_U036,PRJ_0002,2,78.52,7,1,0,1,B,215056.29,993.74,available
PRJ_0002_U037,PRJ_0002,3,115.11,13,1,0,1,D,320962.65,1140.57,available
PRJ_0002_U038,PRJ_0002,3,122.49,3,0,0,0,B,340280.18,1759.17,available
