snapshot_date,supplier_id,supplier_name,category,risk_profile,annual_volume_eur,orders,incidents,avg_delay_days,dependency_pct,estimated_margin_pct,macro_pressure,demand_pressure,risk_score,risk_tier_rule,reliability_index,behavior_state,forecast_risk_score_90,forecast_risk_level_90,risk_tier
2024-01-01,SUP_0001,SUP_0001,logistica,watch,3946409.1,156,0.0,14.98,63.09,4.91,1.0007,0.9796,45.96,LOW,38.68,warning,80.26,MED,MED
2024-01-01,SUP_0002,SUP_0002,acero,stable,3178142.93,32,2.89,8.68,17.25,23.48,1.0007,0.9796,5.98,LOW,70.56,warning,32.41,LOW,LOW
2024-01-01,SUP_0003,SUP_0003,cemento,fragile,2802758.21,33,0.85,36.18,77.07,17.05,1.0007,0.9796,74.46,MED,0.0,critical,145.27,HIGH,HIGH
2024-01-01,SUP_0004,SUP_0004,electricidad,watch,1917179.64,69,1.18,14.38,38.0,5.67,1.0007,0.9796,36.53,LOW,49.34,warning,69.72,LOW,LOW
2024-01-01,SUP_0005,SUP_0005,electricidad,stable,3768194.0,95,2.78,9.12,36.01,27.71,1.0007,0.9796,10.53,LOW,61.28,warning,38.81,LOW,LOW
2024-01-01,SUP_0006,SUP_0006,fontaneria,fragile,4850948.98,64,2.52,10.13,73.34,14.41,1.0007,0.9796,41.35,LOW,39.77,critical,92.17,MED,MED
2024-01-01,SUP_0007,SUP_0007,acero,watch,3277115.16,32,2.25,8.95,75.8,21.93,1.0007,0.9796,32.34,LOW,45.71,warning,64.62,LOW,LOW
2024-01-01,SUP_0008,SUP_0008,logistica,watch,1873115.52,75,5.08,1.46,61.94,10.63,1.0007,0.9796,34.67,LOW,50.38,warning,62.93,LOW,LOW
2024-01-01,SUP_0009,SUP_0009,electricidad,stable,5206342.32,54,2.23,11.52,10.69,5.84,1.0007,0.9796,22.96,LOW,63.61,stable,46.36,LOW,LOW
2024-01-01,SUP_0010,SUP_0010,acero,watch,3823154.51,56,2.49,7.62,37.83,18.46,1.0007,0.9796,17.45,LOW,62.55,warning,38.95,LOW,LOW
2024-01-01,SUP_0011,SUP_0011,logistica,stable,4011612.78,248,4.62,4.01,13.41,13.69,1.0007,0.9796,12.22,LOW,64.83,warning,34.58,LOW,LOW
2024-01-01,SUP_0012,SUP_0012,logistica,fragile,3332275.13,91,6.96,29.77,42.67,8.87,1.0007,0.9796,75.89,MED,0.0,critical,147.54,HIGH,HIGH
2024-01-01,SUP_0013,SUP_0013,electricidad,watch,2265018.12,96,13.75,15.18,83.6,18.91,1.0007,0.9796,82.73,MED,0.0,critical,145.83,HIGH,HIGH
2024-01-01,SUP_0014,SUP_0014,cemento,fragile,1916828.88,66,10.44,14.41,58.37,33.64,1.0007,0.9796,45.57,LOW,12.94,critical,111.21,MED,MED
2024-01-01,SUP_0015,SUP_0015,fontaneria,stable,1994473.48,101,6.25,7.28,18.31,37.42,1.0007,0.9796,0.5,LOW,62.27,warning,21.95,LOW,LOW
2024-01-01,SUP_0016,SUP_0016,electricidad,stable,1094849.66,40,3.89,17.41,22.18,32.4,1.0007,0.9796,15.37,LOW,49.76,warning,50.56,LOW,LOW
2024-01-01,SUP_0017,SUP_0017,hormigon,watch,3182891.18,9,3.72,8.61,40.58,16.0,1.0007,0.9796,26.34,LOW,54.97,warning,53.69,LOW,LOW
2024-01-01,SUP_0018,SUP_0018,fontaneria,stable,1844869.11,44,4.18,9.31,11.32,23.01,1.0007,0.9796,8.56,LOW,66.33,warning,34.25,LOW,LOW
